cf,name,last_name,birthdate,gender,city,gen1,gen2,partner_of
SMNGUO98A09L117E,Ugo,Simonitto,1998-01-09,M,TERNI,SMNVSC67S14L117W,MRNPNI74P22E506F,SMPFRZ89P13H501U
SMNMLN95P04L117K,Melania,Simonitto,1995-09-04,F,TERNI,SMNVSC67S14L117W,MRNPNI74P22E506F,SMPTTI90H16H501M
SMNVTT97T31L117Q,Vanetta,Simonitto,1997-12-31,F,TERNI,SMNVSC67S14L117W,MRNPNI74P22E506F,CSLNTN85L01G273Q
CMAFMN96A24B963Y,Flaminio,Caim,1996-01-24,M,CASERTA,CMAMRN67C17B963B,MRNRSO75E18E506Z,CSLMSC84T12G273R
CMASML98S10B963N,Samuele,Caim,1998-11-10,M,CASERTA,CMAMRN67C17B963B,MRNRSO75E18E506Z,GCNLCI86R10E506Y
CMAFLV94T07B963J,Flavio,Caim,1994-12-07,M,CASERTA,CMAMRN67C17B963B,MRNRSO75E18E506Z,GCNZRA87H17E506H
CMASRL97E13B963F,Esmeralda,Caim,1997-05-13,F,CASERTA,CMAMRN67C17B963B,MRNRSO75E18E506Z,CSLMRA88D26G273T
CMADNT98L27B963R,Donato,Caim,1998-07-27,M,CASERTA,CMAMRN67C17B963B,MRNRSO75E18E506Z,LBRVGN88D28E715W
CMACAI95T12B963G,Caio,Caim,1995-12-12,M,CASERTA,CMAMRN67C17B963B,MRNRSO75E18E506Z,LBRSMN88E06E715S
CMANTA98B14B963P,Anita,Caim,1998-02-14,F,CASERTA,CMAMRN67C17B963B,MRNRSO75E18E506Z,SMPGLL89M18H501E
SMPNBL92A27H501K,Annibale,Semplice,1992-01-27,M,ROMA,SMPBGI73D18H501O,LNZTLI64L10L781C,BRNDRO87H04A326I
SMPSLL91L16H501S,Stella,Semplice,1991-07-16,F,ROMA,SMPBGI73D18H501O,LNZTLI64L10L781C,CSLGNZ85B28G273S
SMPGLL89M18H501E,Galileo,Semplice,1989-08-18,M,ROMA,SMPBGI73D18H501O,LNZTLI64L10L781C,CMANTA98B14B963P
SMPDTL92R23H501L,Domitilla,Semplice,1992-10-23,F,ROMA,SMPBGI73D18H501O,LNZTLI64L10L781C,BNNGRG85M11A859L
SMPDNT90H29H501U,Donato,Semplice,1990-06-29,M,ROMA,SMPBGI73D18H501O,LNZTLI64L10L781C,LBRMLD87H19E715C
SMPVTR93S03H501M,Vittoriana,Semplice,1993-11-03,F,ROMA,SMPBGI73D18H501O,LNZTLI64L10L781C,CSLLFA84C03G273H
SMPTTI90H16H501M,Tito,Semplice,1990-06-16,M,ROMA,SMPBGI73D18H501O,LNZTLI64L10L781C,SMNMLN95P04L117K
CSLCLD84E09G273K,Claudio,Casolari,1984-05-09,M,PALERMO,CSLPLG64E31G273E,BNNCSN66R03A859L,TRDMRZ92S14A390P
CSLSTN87C13G273G,Santina,Casolari,1987-03-13,F,PALERMO,CSLPLG64E31G273E,BNNCSN66R03A859L,MRNPLT95P26E506P
CSLGLL88E05G273S,Agnello,Casolari,1988-05-05,M,PALERMO,CSLPLG64E31G273E,BNNCSN66R03A859L,BNNSNO93M09A859L
CSLGTV85R21G273X,Gustava,Casolari,1985-10-21,F,PALERMO,CSLPLG64E31G273E,BNNCSN66R03A859L,GCNVTI88P23E506V
CSLMTT87A27G273N,Matteo,Casolari,1987-01-27,M,PALERMO,CSLMRC66C19G273S,LBRMLA66A13E715Q,BNNRLN87R01A859Q
CSLPLT86D06G273H,Ippolito,Casolari,1986-04-06,M,PALERMO,CSLMRC66C19G273S,LBRMLA66A13E715Q,TRCGDN93S08D643Q
CSLSRA86R07G273Y,Sara,Casolari,1986-10-07,F,PALERMO,CSLMRC66C19G273S,LBRMLA66A13E715Q,CMAGRL90B23B963E
CSLMRA88D26G273T,Mauro,Casolari,1988-04-26,M,PALERMO,CSLMRC66C19G273S,LBRMLA66A13E715Q,CMASRL97E13B963F
CSLRLN88D01G273Q,Rosalinda,Casolari,1988-04-01,F,PALERMO,CSLMRC66C19G273S,LBRMLA66A13E715Q,SMNGTN96S17L117H
CSLGNZ85B28G273S,Ignazio,Casolari,1985-02-28,M,PALERMO,CSLMRC66C19G273S,LBRMLA66A13E715Q,SMPSLL91L16H501S
CSLSDR87M28G273D,Sandro,Casolari,1987-08-28,M,PALERMO,CSLMRC66C19G273S,LBRMLA66A13E715Q,TRDSRN93L14A390C
MRNLNR96M02E506D,Eleonora,Amarino,1996-08-02,F,LECCE,MRNFLV75S06E506K,LBRMLD64L24E715X,LNZTLL87P01L781J
MRNLCA93S20E506M,Alceo,Amarino,1993-11-20,M,LECCE,MRNFLV75S06E506K,LBRMLD64L24E715X,TRCNZE87D27D643B
MRNDIA95T04E506C,Ida,Amarino,1995-12-04,F,LECCE,MRNFLV75S06E506K,LBRMLD64L24E715X,SMNVNI84C05L117H
MRNDRO94M29E506W,Dora,Amarino,1994-08-29,F,LECCE,MRNFLV75S06E506K,LBRMLD64L24E715X,CSLGLD84S13G273E
MRNRSR97E17E506G,Rosaria,Amarino,1997-05-17,F,LECCE,MRNFLV75S06E506K,LBRMLD64L24E715X,GCNFNC84M09E506C
MRNVNI95A02E506M,Ivana,Amarino,1995-01-02,F,LECCE,MRNFLV75S06E506K,LBRMLD64L24E715X,SMNPIO84M24L117R
CSLGRL87P30G273G,Gabriele,Casolari,1987-09-30,M,PALERMO,CSLLRD65B06G273F,SMNSRG66R01L117E,CSLNTN87E28G273S
CSLLNI86A06G273C,Ilenia,Casolari,1986-01-06,F,PALERMO,CSLLRD65B06G273F,SMNSRG66R01L117E,TRDRNR89M26A390Q
CSLLTZ88E11G273J,Letizia,Casolari,1988-05-11,F,PALERMO,CSLLRD65B06G273F,SMNSRG66R01L117E,TRDRFL92L01A390T
DMNNLT85R22A662K,Nicoletta,De Munda,1985-10-22,F,BARI,DMNVLR68B07A662R,SMNLVO65C10L117F,BNNLVN89R20A859V
DMNCSG88R15A662E,Consiglia,De Munda,1988-10-15,F,BARI,DMNVLR68B07A662R,SMNLVO65C10L117F,GCNLRD88B04E506X
DMNDTL85S25A662O,Domitilla,De Munda,1985-11-25,F,BARI,DMNVLR68B07A662R,SMNLVO65C10L117F,LBRGZZ84A16E715M
SMPMRZ90L17H501F,Maurizia,Semplice,1990-07-17,F,ROMA,SMPMRZ70P25H501X,SMNTMR68A31L117Y,CSLGGN87B28G273D
SMPMRG90E24H501K,Ambrogio,Semplice,1990-05-24,M,ROMA,SMPMRZ70P25H501X,SMNTMR68A31L117Y,BRNLGO84M08A326F
SMNFMN88H23L117G,Flaminio,Simonitto,1988-06-23,M,TERNI,SMNRST68H26L117W,TRCJSC68M29D643W,LBRDNI86S01E715M
SMNMRG85L18L117R,Amerigo,Simonitto,1985-07-18,M,TERNI,SMNRST68H26L117W,TRCJSC68M29D643W,TRCDTT91P25D643L
SMNDNC85B19L117O,Domenica,Simonitto,1985-02-19,F,TERNI,SMNRST68H26L117W,TRCJSC68M29D643W,TRDTTR90P27A390S
CMAVLR85P30B963W,Valeria,Caim,1985-09-30,F,CASERTA,CMARRT64D11B963U,SMNLSS64B10L117F,LNZGRT83S22L781U
DNTDLA88E14G224F,Adele,Donati,1988-05-14,F,PADOVA,DNTBLD64C29G224H,TRCFDN65H28D643S,LBRLNS83T30E715H
DNTVSS87L26G224Y,Vanessa,Donati,1987-07-26,F,PADOVA,DNTBLD64C29G224H,TRCFDN65H28D643S,BNNCMN89P27A859F
DNTGLM87M19G224O,Girolamo,Donati,1987-08-19,M,PADOVA,DNTBLD64C29G224H,TRCFDN65H28D643S,CSLGLL85P22G273D
LBRMNL88B25E715D,Emanuela,Alberani,1988-02-25,F,LUCCA,LBRCLL68R19E715O,TRCDNC65A30D643L,TRCSVR84S13D643X
LBRVGN88D28E715W,Verginia,Alberani,1988-04-28,F,LUCCA,LBRCLL68R19E715O,TRCDNC65A30D643L,CMADNT98L27B963R
LBRSRN87M18E715V,Siriana,Alberani,1987-08-18,F,LUCCA,LBRCLL68R19E715O,TRCDNC65A30D643L,TRDLLE93L18A390S
LBRNGL84B05E715T,Angela,Alberani,1984-02-05,F,LUCCA,LBRCLL68R19E715O,TRCDNC65A30D643L,SMPVLR93B07H501A
LBRDNI86S01E715M,Diana,Alberani,1986-11-01,F,LUCCA,LBRCLL68R19E715O,TRCDNC65A30D643L,SMNFMN88H23L117G
LBRGZZ84A16E715M,Galeazzo,Alberani,1984-01-16,M,LUCCA,LBRCLL68R19E715O,TRCDNC65A30D643L,DMNDTL85S25A662O
GCNZRA87H17E506H,Zara,Giocondo,1987-06-17,F,LECCE,GCNGLD65T10E506O,TRCDTT68S12D643M,CMAFLV94T07B963J
GCNLCI86R10E506Y,Licia,Giocondo,1986-10-10,F,LECCE,GCNGLD65T10E506O,TRCDTT68S12D643M,CMASML98S10B963N
GCNSLL85D15E506R,Isabella,Giocondo,1985-04-15,F,LECCE,GCNGLD65T10E506O,TRCDTT68S12D643M,SMPTBO93S09H501H
GCNRSR85A30E506O,Rosario,Giocondo,1985-01-30,M,LECCE,GCNGLD65T10E506O,TRCDTT68S12D643M,BNNZRA93B22A859M
TRCDTT91P25D643L,Diletta,Trucco,1991-09-25,F,FOGGIA,TRCGRG65T11D643Q,SMPPLA69H13H501L,SMNMRG85L18L117R
TRCRLA92A14D643Q,Aurelia,Trucco,1992-01-14,F,FOGGIA,TRCGRG65T11D643Q,SMPPLA69H13H501L,MRNLND96L03E506D
TRCGDN93S08D643Q,Giordana,Trucco,1993-11-08,F,FOGGIA,TRCGRG65T11D643Q,SMPPLA69H13H501L,CSLPLT86D06G273H
TRCMTN90E05D643R,Martino,Trucco,1990-05-05,M,FOGGIA,TRCGRG65T11D643Q,SMPPLA69H13H501L,SMNCSM97A20L117B
SMPLNS90A25H501D,Alfonso,Semplice,1990-01-25,M,ROMA,SMPGDU69S10H501O,BRNVNN65H05A326J,LBRPLA84T30E715E
SMPTTV92R28H501X,Ottavio,Semplice,1992-10-28,M,ROMA,SMPGDU69S10H501O,BRNVNN65H05A326J,TRCNGL88D14D643S
SMPTBO93S09H501H,Tobia,Semplice,1993-11-09,M,ROMA,SMPGDU69S10H501O,BRNVNN65H05A326J,GCNSLL85D15E506R
SMPBLD89R02H501S,Ubaldo,Semplice,1989-10-02,M,ROMA,SMPGDU69S10H501O,BRNVNN65H05A326J,SMNBRT94P08L117S
SMPNTN89S30H501B,Antonia,Semplice,1989-11-30,F,ROMA,SMPGDU69S10H501O,BRNVNN65H05A326J,BRNVNI84A19A326A
SMPDLD92M01H501U,Adelaide,Semplice,1992-08-01,F,ROMA,SMPVVN70L23H501R,BRNNLT65H17A326W,TRCLSS87S25D643D
SMPVLR93B07H501A,Valerio,Semplice,1993-02-07,M,ROMA,SMPVVN70L23H501R,BRNNLT65H17A326W,LBRNGL84B05E715T
SMPFRZ89P13H501U,Fabrizia,Semplice,1989-09-13,F,ROMA,SMPVVN70L23H501R,BRNNLT65H17A326W,SMNGUO98A09L117E
