plate,manifacturer,model,last_revision,insurance_expiration,is_stolen,owner
RL360CZ,Kia,Sportage,2023-07-08,2024-05-01,False,FLNLVO95M26B745T
BZ487OX,Kia,Rio,2024-12-08,2025-09-18,False,FLNSMN97M12B745Y
DH844YB,BMW,Serie 5,2021-02-05,2025-12-31,False,GNRGCH94E04F023I
IN929KS,Toyota,Land Cruiser,2023-08-26,2025-01-17,False,GNRCTN96R25F023A
CT454PC,Volvo,V90,2023-06-16,2025-01-17,False,GNRLCI94P11F023A
ZC820HB,Hyundai,Sonata,2023-01-03,2025-11-02,False,GNRRFL97M12F023O
VN707JA,BMW,Serie 3,2022-11-18,2024-10-10,False,GNRGNR96A27F023L
WY938DS,Toyota,Corolla,2024-05-04,2024-08-20,False,CLLMRA01C10B180H
TD479JK,Mercedes-Benz,Classe E,2024-11-09,2025-03-12,False,CLLBLD00T07B180S
AB184OG,Jeep,Renegade,2024-03-05,2025-12-14,False,CLLCMB02L01B180G
TS425AD,Peugeot,308,2024-06-27,2024-06-11,False,CLLDNC01H02B180B
XU460WF,Nissan,Qashqai,2022-08-23,2025-01-04,False,GNRMME97R26D612R
LV815WK,Kia,Rio,2024-07-14,2025-12-01,False,GNRCRI96M26D612K
GW249CC,Toyota,Corolla,2023-02-21,2025-08-16,False,GNRLRT98L08D612U
QE680SD,Toyota,Land Cruiser,2023-08-22,2025-06-02,False,GNRPLA93T01D612N
NV646OG,BMW,Serie 5,2024-02-02,2025-12-24,False,FLNPPP94R29B745M
OQ872UL,Peugeot,308,2024-05-17,2025-03-08,False,DMCRNT94P02D122T
YU752GI,Subaru,Forester,2023-08-09,2025-04-26,False,DMCGST94T02D122L
EW718NM,Subaru,Outback,2023-04-16,2025-09-30,False,DMCSNT94A03D122U
LC053CK,Honda,Accord,2024-06-28,2025-06-02,False,DMCNTL94S10D122H
BF871CA,Fiat,Punto,2022-11-05,2025-12-05,False,CVGLNE06L15I480X
GF880LO,Audi,A4,2021-09-17,2025-12-18,False,CVGLFA03S15I480R
NJ377KC,Toyota,Yaris,2024-11-05,2025-09-20,False,ZLLNRC95M27A509C
AE888UF,Kia,Sportage,2022-06-03,2025-02-16,False,ZLLLGR97H07A509V
VE920PE,Mazda,Mazda6,2024-08-16,2025-06-12,False,ZLLRND98M08A509W
VE498RA,Renault,Mégane,2022-01-08,2025-05-13,False,ZLLNRN96M31A509Y
JW178BA,Chevrolet,Silverado,2024-12-19,2025-01-13,False,ZLLSFN98A21A509S
DE010DL,Volvo,S60,2024-03-29,2025-02-14,False,CVGZEI99R04D969Z
LR892IF,Subaru,Forester,2022-01-02,2024-07-05,False,CVGDMN00P02D969F
FO460XC,Mazda,Mazda3,2024-07-24,2025-09-12,False,CVGDLR01D08D969O
SD391AO,Jeep,Wrangler,2022-12-13,2025-03-13,False,CVGLRT02P12D969M
XH532MQ,Nissan,X-Trail,2024-01-15,2025-03-22,False,BRGSML02B18D150H
UQ955MP,Hyundai,Sonata,2022-04-12,2024-04-19,False,BRGSDI00S25D150Y
TK313GU,Chevrolet,Malibu,2024-11-01,2025-06-05,False,BRGMRK99E10D150I
HI193CC,Mazda,CX-5,2023-04-12,2025-06-18,False,CVGMLT04A16E290N
LW149CZ,Renault,Clio,2022-03-31,2025-05-10,False,CVGFCT06P01E290V
HC321CX,Ford,Fiesta,2024-09-18,2025-09-17,False,CVGVTR04A04E290X
YO824ET,Hyundai,Tucson,2023-10-03,2025-06-26,False,GNRSDR95A12G479Y
XW193PO,Hyundai,Sonata,2022-04-11,2025-04-14,False,GNRGDE97L08G479R
XW343HR,Toyota,Corolla,2024-12-08,2025-08-17,False,GNRPIA96R13G479A
