cf,name,last_name,birthdate,gender,birthplace,residence,gen1,gen2,partner_of
RMLRCC55S20E506J,Rocco,Romaldini,1955-11-20,M,LECCE,FOGGIA,,,LBRLIO51T10G482L
CSTGTR54T16E335S,Geltrude,Costante,1954-12-16,F,ISERNIA,CAMPOBASSO,,,MLLBDT50P08E335S
RSTTBO58M30G273L,Tobia,Ariosto,1958-08-30,M,PALERMO,PALERMO,,,GRMRRA50M05G273O
CRPMRZ56P09H224G,Maurizia,Cropi,1956-09-09,F,REGGIO DI CALABRIA,CATANZARO,,,ZCCGGN50E22H224M
CDLSLV59M05D205Z,Silvio,Cedolini,1959-08-05,M,CUNEO,SALERNO,,,FBBSIA53P17D205F
NCLVLI58P12D810J,Viola,Nicolazzi,1958-09-12,F,FROSINONE,VITERBO,,,MRGTTO49P28M082J
CRTMND57P26E281Y,Amanda,Cortinovi,1957-09-26,F,IGLESIAS,IGLESIAS,,,MRTBGI52D09E281D
SPRTDD53M08D612L,Taddeo,Sparaci,1953-08-08,M,FIRENZE,PESARO,,,SNGVND52L14B832L
BNMSDR42H01B429E,Isidoro,Bonamico,1942-06-01,M,CALTANISSETTA,TRANI,,,FSSRNI49R21E335N
VNNSFN71A01B832E,Stefano,Venanzi,1971-01-01,M,CARRARA,MATERA,GSTTMS51S19G713Z,VNNNNZ39A12D612S,CTPMRZ73M06F052L
VNNTLI71E18B832T,Italia,Venanzi,1971-05-18,F,CARRARA,CARRARA,GSTTMS51S19G713Z,VNNNNZ39A12D612S,TRMDTR72E23A089U
VNNTVN73H17B832M,Ottaviano,Venanzi,1973-06-17,M,CARRARA,RIETI,GSTTMS51S19G713Z,VNNNNZ39A12D612S,VBISTR70M18H282D
CHNRSL75S17G113I,Rosalia,Chiaino,1975-11-17,F,ORISTANO,ORISTANO,MTTNTS49C16E281W,CHNGRT56D20E281H,MLLTLL74D05B519O
CHNBRM76T12G113G,Abramo,Chiaino,1976-12-12,M,ORISTANO,RIETI,MTTNTS49C16E281W,CHNGRT56D20E281H,VBIMME73E31H282R
CHNLSS75T15G113H,Alessio,Chiaino,1975-12-15,M,ORISTANO,ROMA,MTTNTS49C16E281W,CHNGRT56D20E281H,TCELNR76T20G113X
CHNDLU76E29G113Y,Duilio,Chiaino,1976-05-29,M,ORISTANO,FOGGIA,MTTNTS49C16E281W,CHNGRT56D20E281H,RMLVGL74M08D643C
CHNLNI75P27G113Z,Ilenia,Chiaino,1975-09-27,F,ORISTANO,ORISTANO,MTTNTS49C16E281W,CHNGRT56D20E281H,
CHNTLI76E08G113Y,Italo,Chiaino,1976-05-08,M,ORISTANO,VITERBO,MTTNTS49C16E281W,CHNGRT56D20E281H,MRGVDN75H22M082H
CHNCNZ78D25G113K,Cinzia,Chiaino,1978-04-25,F,ORISTANO,CAGLIARI,MTTNTS49C16E281W,CHNGRT56D20E281H,FRTTLL71A11A794D
CHNQRN78B16G113U,Quirino,Chiaino,1978-02-16,M,ORISTANO,RIETI,MTTNTS49C16E281W,CHNGRT56D20E281H,VBIRNT72S20H282P
CHNNNI76L19G113G,Nino,Chiaino,1976-07-19,M,ORISTANO,FOGGIA,MTTNTS49C16E281W,CHNGRT56D20E281H,CTPGTV71C20F052G
FRTTLL71A11A794D,Otello,Fraternali,1971-01-11,M,BERGAMO,CAGLIARI,FRTRCC49H01A794I,NSNSTN47E14A794R,CHNCNZ78D25G113K
FRTRNN72A29A794Q,Rosanna,Fraternali,1972-01-29,F,BERGAMO,BERGAMO,FRTRCC49H01A794I,NSNSTN47E14A794R,CRLVTR71R08G478I
FRTMRK70L13A794I,Mirka,Fraternali,1970-07-13,F,BERGAMO,ALESSANDRIA,FRTRCC49H01A794I,NSNSTN47E14A794R,NSTBTL70C08D542O
FRTRSR69D28A794V,Rosario,Fraternali,1969-04-28,M,BERGAMO,MATERA,FRTRCC49H01A794I,NSNSTN47E14A794R,CTPLNE73C02F052E
FRTCST69C04A794U,Cristiana,Fraternali,1969-03-04,F,BERGAMO,BERGAMO,FRTRCC49H01A794I,NSNSTN47E14A794R,TRQGRG78H14E715O
FRTVLR71L25A794C,Valeria,Fraternali,1971-07-25,F,BERGAMO,COMO,FRTRCC49H01A794I,NSNSTN47E14A794R,CDLSML81M03H703F
FRTGLI72H20A794G,Giulia,Fraternali,1972-06-20,F,BERGAMO,AOSTA,FRTRCC49H01A794I,NSNSTN47E14A794R,TMMLMO73E11D086O
CTPLNE73C02F052E,Elena,Catapani,1973-03-02,F,MATERA,MATERA,CTPVIO50H28F052S,LNTDNL44L05G942B,FRTRSR69D28A794V
CTPLMP70P15F052R,Olimpia,Catapani,1970-09-15,F,MATERA,POTENZA,CTPVIO50H28F052S,LNTDNL44L05G942B,ZFFGGI80B27E335F
CTPMRZ73M06F052L,Maurizia,Catapani,1973-08-06,F,MATERA,MATERA,CTPVIO50H28F052S,LNTDNL44L05G942B,VNNSFN71A01B832E
CTPGTN71H19F052D,Giustiniano,Catapani,1971-06-19,M,MATERA,POTENZA,CTPVIO50H28F052S,LNTDNL44L05G942B,CDLRLN82P08H703Q
CTPVCN71R23F052N,Vincenzo,Catapani,1971-10-23,M,MATERA,VITERBO,CTPVIO50H28F052S,LNTDNL44L05G942B,VBICCT70M18H282G
CTPGTV71C20F052G,Gustava,Catapani,1971-03-20,F,MATERA,FOGGIA,CTPVIO50H28F052S,LNTDNL44L05G942B,CHNNNI76L19G113G
TMMLMO73E11D086O,Olmo,Tumminelli,1973-05-11,M,COSENZA,AOSTA,TMMSLD50E21D086Q,CPRDRT49M23D086A,FRTGLI72H20A794G
TMMSRA72C12D086X,Saro,Tumminelli,1972-03-12,M,COSENZA,PESARO,TMMSLD50E21D086Q,CPRDRT49M23D086A,SPRDBR72S03G479G
TMMSRG69P02D086F,Sergia,Tumminelli,1969-09-02,F,COSENZA,CATANZARO,TMMSLD50E21D086Q,CPRDRT49M23D086A,TRQDLM74S26E715L
TMMFST72D02D086I,Fausto,Tumminelli,1972-04-02,M,COSENZA,MONZA,TMMSLD50E21D086Q,CPRDRT49M23D086A,TCEGTA78S11G113T
TRMLHN70D01A089O,Luchino,Tramacere,1970-04-01,M,AGRIGENTO,VITERBO,TRMLSN50B06A089N,RCLNTS43P12H163W,MRGRSL75R12M082W
TRMDTR72E23A089U,Demetrio,Tramacere,1972-05-23,M,AGRIGENTO,CARRARA,TRMLSN50B06A089N,RCLNTS43P12H163W,VNNTLI71E18B832T
TRMGAI71D06A089E,Gaia,Tramacere,1971-04-06,F,AGRIGENTO,RAGUSA,TRMLSN50B06A089N,RCLNTS43P12H163W,CRLFLV69R20E507V
VBIVGN73E29H282A,Virginia,Vibi,1973-05-29,F,RIETI,ROMA,BSTRMN52H02H282M,VBIDCC49R31F023G,TCECAI76D18G113W
VBIMME73E31H282R,Emma,Vibi,1973-05-31,F,RIETI,RIETI,BSTRMN52H02H282M,VBIDCC49R31F023G,CHNBRM76T12G113G
VBIRNT72S20H282P,Renata,Vibi,1972-11-20,F,RIETI,RIETI,BSTRMN52H02H282M,VBIDCC49R31F023G,CHNQRN78B16G113U
VBICCT70M18H282G,Concetta,Vibi,1970-08-18,F,RIETI,VITERBO,BSTRMN52H02H282M,VBIDCC49R31F023G,CTPVCN71R23F052N
VBISTR70M18H282D,Ester,Vibi,1970-08-18,F,RIETI,RIETI,BSTRMN52H02H282M,VBIDCC49R31F023G,VNNTVN73H17B832M
VBINRN70T16H282G,Andreina,Vibi,1970-12-16,F,RIETI,RIETI,BSTRMN52H02H282M,VBIDCC49R31F023G,
VBIRRT70L29H282N,Roberto,Vibi,1970-07-29,M,RIETI,AREZZO,BSTRMN52H02H282M,VBIDCC49R31F023G,MRGZOE78C01M082Q
VBITNI73P30H282Z,Tina,Vibi,1973-09-30,F,RIETI,NUORO,BSTRMN52H02H282M,VBIDCC49R31F023G,CRLNFR70R07G478W
TRQDLM74S26E715L,Adelmo,Tarquinio,1974-11-26,M,LUCCA,CATANZARO,TRQMRN49P20G702S,DZRNRO56C13G702F,TMMSRG69P02D086F
TRQBLD75S04E715T,Ubaldo,Tarquinio,1975-11-04,M,LUCCA,ANCONA,TRQMRN49P20G702S,DZRNRO56C13G702F,NSTDIA73H28D542B
TRQGRG78H14E715O,Giorgio,Tarquinio,1978-06-14,M,LUCCA,BERGAMO,TRQMRN49P20G702S,DZRNRO56C13G702F,FRTCST69C04A794U
TRQMGH75D10E715H,Margherita,Tarquinio,1975-04-10,F,LUCCA,SASSARI,TRQMRN49P20G702S,DZRNRO56C13G702F,CDLFNZ82L12H703U
ZFFGNR79D30E335S,Gennaro,Zaffarana,1979-04-30,M,ISERNIA,L'AQUILA,ZFFRLA49D02B519Y,CDRMRM60R28B519Y,CDLVGN80S15H703H
ZFFGGI80B27E335F,Gigi,Zaffarana,1980-02-27,M,ISERNIA,POTENZA,ZFFRLA49D02B519Y,CDRMRM60R28B519Y,CTPLMP70P15F052R
CRLNFR70R07G478W,Onofrio,Ceraldo,1970-10-07,M,PERUGIA,NUORO,CRLGST52R03L500O,TSSFDN51B27A390P,VBITNI73P30H282Z
CRLVTR71R08G478I,Vittorio,Ceraldo,1971-10-08,M,PERUGIA,BERGAMO,CRLGST52R03L500O,TSSFDN51B27A390P,FRTRNN72A29A794Q
CRLFRC73E20G478K,Federica,Ceraldo,1973-05-20,F,PERUGIA,PERUGIA,CRLGST52R03L500O,TSSFDN51B27A390P,
BRGRNN80M27A390Z,Rosanna,Borgatello,1980-08-27,F,AREZZO,AREZZO,BRGLRD50T13F979N,MRTDLR62S29F979X,
CRLRSR71A28E507Q,Rosario,Cirilla,1971-01-28,M,LECCO,CAGLIARI,GRRRNN53P20E507Q,CRLDRN40M23E507Q,MRTSML73T07E281I
CRLFLV69R20E507V,Fulvio,Cirilla,1969-10-20,M,LECCO,RAGUSA,GRRRNN53P20E507Q,CRLDRN40M23E507Q,TRMGAI71D06A089E
TCECAI76D18G113W,Caio,Teci,1976-04-18,M,ORISTANO,ROMA,PTRFBN48T02G113U,TCEVTI58M05B354M,VBIVGN73E29H282A
TCEGTA78S11G113T,Agata,Teci,1978-11-11,F,ORISTANO,MONZA,PTRFBN48T02G113U,TCEVTI58M05B354M,TMMFST72D02D086I
TCEMRO75S04G113M,Moira,Teci,1975-11-04,F,ORISTANO,ORISTANO,PTRFBN48T02G113U,TCEVTI58M05B354M,NSTSST73C06D542K
TCELNR76T20G113X,Eleonora,Teci,1976-12-20,F,ORISTANO,ROMA,PTRFBN48T02G113U,TCEVTI58M05B354M,CHNLSS75T15G113H
TCELRZ77H08G113N,Lucrezio,Teci,1977-06-08,M,ORISTANO,PESARO,PTRFBN48T02G113U,TCEVTI58M05B354M,SPRGLR70T07G479X
NSTSST73C06D542K,Sebastiano,Nistico,1973-03-06,M,FERMO,ORISTANO,NSTGST49D08E472C,RCCCSM51T24E472B,TCEMRO75S04G113M
NSTBTL70C08D542O,Bartolomeo,Nistico,1970-03-08,M,FERMO,ALESSANDRIA,NSTGST49D08E472C,RCCCSM51T24E472B,FRTMRK70L13A794I
NSTGIA70E08D542R,Iago,Nistico,1970-05-08,M,FERMO,PESARO,NSTGST49D08E472C,RCCCSM51T24E472B,SPRJSC71A06G479F
NSTDIA73H28D542B,Ida,Nistico,1973-06-28,F,FERMO,ANCONA,NSTGST49D08E472C,RCCCSM51T24E472B,TRQBLD75S04E715T
RMLMCL74S06D643Z,Micol,Romaldini,1974-11-06,F,FOGGIA,FOGGIA,LBRLIO51T10G482L,RMLRCC55S20E506J,CDLZNE81S24H703F
RMLVGL74M08D643C,Virgilia,Romaldini,1974-08-08,F,FOGGIA,FOGGIA,LBRLIO51T10G482L,RMLRCC55S20E506J,CHNDLU76E29G113Y
MLLPIO75A05B519X,Pio,Milello,1975-01-05,M,CAMPOBASSO,VICENZA,MLLBDT50P08E335S,CSTGTR54T16E335S,SPRMTA71D06G479O
MLLTLL74D05B519O,Otello,Milello,1974-04-05,M,CAMPOBASSO,ORISTANO,MLLBDT50P08E335S,CSTGTR54T16E335S,CHNRSL75S17G113I
CDLSML81M03H703F,Samuele,Cedolini,1981-08-03,M,SALERNO,COMO,FBBSIA53P17D205F,CDLSLV59M05D205Z,FRTVLR71L25A794C
CDLFNZ82L12H703U,Fiorenzo,Cedolini,1982-07-12,M,SALERNO,SASSARI,FBBSIA53P17D205F,CDLSLV59M05D205Z,TRQMGH75D10E715H
CDLRLN82P08H703Q,Rosalina,Cedolini,1982-09-08,F,SALERNO,POTENZA,FBBSIA53P17D205F,CDLSLV59M05D205Z,CTPGTN71H19F052D
CDLVGN80S15H703H,Virginia,Cedolini,1980-11-15,F,SALERNO,L'AQUILA,FBBSIA53P17D205F,CDLSLV59M05D205Z,ZFFGNR79D30E335S
CDLZNE81S24H703F,Zeno,Cedolini,1981-11-24,M,SALERNO,FOGGIA,FBBSIA53P17D205F,CDLSLV59M05D205Z,RMLMCL74S06D643Z
MRGZOE78C01M082Q,Zoe,Murgia,1978-03-01,F,VITERBO,AREZZO,MRGTTO49P28M082J,NCLVLI58P12D810J,VBIRRT70L29H282N
MRGVDN75H22M082H,Veridiana,Murgia,1975-06-22,F,VITERBO,VITERBO,MRGTTO49P28M082J,NCLVLI58P12D810J,CHNTLI76E08G113Y
MRGRSL75R12M082W,Rosalia,Murgia,1975-10-12,F,VITERBO,VITERBO,MRGTTO49P28M082J,NCLVLI58P12D810J,TRMLHN70D01A089O
MRTSML73T07E281I,Samuela,Marturana,1973-12-07,F,IGLESIAS,CAGLIARI,MRTBGI52D09E281D,CRTMND57P26E281Y,CRLRSR71A28E507Q
SPRJSC71A06G479F,Jessica,Sparaci,1971-01-06,F,PESARO,PESARO,SNGVND52L14B832L,SPRTDD53M08D612L,NSTGIA70E08D542R
SPRGLR70T07G479X,Gloria,Sparaci,1970-12-07,F,PESARO,PESARO,SNGVND52L14B832L,SPRTDD53M08D612L,TCELRZ77H08G113N
SPRMTA71D06G479O,Amata,Sparaci,1971-04-06,F,PESARO,VICENZA,SNGVND52L14B832L,SPRTDD53M08D612L,MLLPIO75A05B519X
SPRDBR72S03G479G,Debora,Sparaci,1972-11-03,F,PESARO,PESARO,SNGVND52L14B832L,SPRTDD53M08D612L,TMMSRA72C12D086X
VNNLVI93L13F052U,Livia,Venanzi,1993-07-13,F,MATERA,IGLESIAS,CTPMRZ73M06F052L,VNNSFN71A01B832E,NSTLRI94S06G113P
VNNMRT91R30F052C,Umberta,Venanzi,1991-10-30,F,MATERA,COMO,CTPMRZ73M06F052L,VNNSFN71A01B832E,TRQPLA95P18A794K
VNNGDL89P16F052A,Guendalina,Venanzi,1989-09-16,F,MATERA,ASCOLI PICENO,CTPMRZ73M06F052L,VNNSFN71A01B832E,NSTSCR93B23G479M
VNNSFO93E11F052I,Sofia,Venanzi,1993-05-11,F,MATERA,ORISTANO,CTPMRZ73M06F052L,VNNSFN71A01B832E,NSTCMN98E27G113A
VNNGMN90T08F052U,Germano,Venanzi,1990-12-08,M,MATERA,MATERA,CTPMRZ73M06F052L,VNNSFN71A01B832E,TMMGRT94T21F704T
VNNDRN92H22F052A,Adriano,Venanzi,1992-06-22,M,MATERA,MATERA,CTPMRZ73M06F052L,VNNSFN71A01B832E,CHNTSC96S09M082V
VNNNLM91L12H282Z,Anselmo,Venanzi,1991-07-12,M,RIETI,RIETI,VBISTR70M18H282D,VNNTVN73H17B832M,
VNNMDE91D27H282J,Emidio,Venanzi,1991-04-27,M,RIETI,FROSINONE,VBISTR70M18H282D,VNNTVN73H17B832M,TCEFMN94M21G479T
VNNMSM91C04H282K,Massimo,Venanzi,1991-03-04,M,RIETI,RIETI,VBISTR70M18H282D,VNNTVN73H17B832M,
VNNRSO92A05H282S,Rosa,Venanzi,1992-01-05,F,RIETI,MACERATA,VBISTR70M18H282D,VNNTVN73H17B832M,TMMFBN91E04G479P
VNNVEA92A10H282U,Eva,Venanzi,1992-01-10,F,RIETI,LECCO,VBISTR70M18H282D,VNNTVN73H17B832M,TRQMRC95C21A794X
VNNCVN89L03H282C,Calvino,Venanzi,1989-07-03,M,RIETI,RIETI,VBISTR70M18H282D,VNNTVN73H17B832M,FRTLSS94B15B354Q
VNNGNI90C10H282A,Igino,Venanzi,1990-03-10,M,RIETI,MASSA,VBISTR70M18H282D,VNNTVN73H17B832M,CHNCLR98A04H501K
CHNMRA96H29H501J,Mauro,Chiaino,1996-06-29,M,ROMA,FROSINONE,TCELNR76T20G113X,CHNLSS75T15G113H,FRTFNC89S21F052Z
CHNFDL97H25H501F,Fedele,Chiaino,1997-06-25,M,ROMA,FIRENZE,TCELNR76T20G113X,CHNLSS75T15G113H,NSTJSC88T20G479G
CHNNCN95H11H501X,Innocenzo,Chiaino,1995-06-11,M,ROMA,ROMA,TCELNR76T20G113X,CHNLSS75T15G113H,CRLGLI92R29H163O
CHNCLR98A04H501K,Clara,Chiaino,1998-01-04,F,ROMA,MASSA,TCELNR76T20G113X,CHNLSS75T15G113H,VNNGNI90C10H282A
CHNRND97T17H501W,Orlando,Chiaino,1997-12-17,M,ROMA,VITERBO,TCELNR76T20G113X,CHNLSS75T15G113H,CRLDLA90M31F979Z
CHNGTV96D23H501G,Gustavo,Chiaino,1996-04-23,M,ROMA,ROMA,TCELNR76T20G113X,CHNLSS75T15G113H,NSTTZN92L10G479X
CHNMRN95E17H501I,Moreno,Chiaino,1995-05-17,M,ROMA,ROMA,TCELNR76T20G113X,CHNLSS75T15G113H,TRMPRI96H15M082I
CHNGSI95C07H501W,Giosuè,Chiaino,1995-03-07,M,ROMA,MONZA,TCELNR76T20G113X,CHNLSS75T15G113H,TRQMRZ94L24C352L
CHNRST95B17D643X,Oreste,Chiaino,1995-02-17,M,FOGGIA,TARANTO,RMLVGL74M08D643C,CHNDLU76E29G113Y,TRQWLM95S06A271K
CHNNDR93T22M082K,Andrea,Chiaino,1993-12-22,M,VITERBO,RIETI,MRGVDN75H22M082H,CHNTLI76E08G113Y,FRTSRA90S27F052I
CHNPPP96M03M082N,Peppa,Chiaino,1996-08-03,F,VITERBO,MANTOVA,MRGVDN75H22M082H,CHNTLI76E08G113Y,NSTNDR98B08G113V
CHNLCL94E12M082V,Lucilio,Chiaino,1994-05-12,M,VITERBO,VITERBO,MRGVDN75H22M082H,CHNTLI76E08G113Y,TRQGVF97A20A794V
CHNLVS95P29M082T,Alvise,Chiaino,1995-09-29,M,VITERBO,VITERBO,MRGVDN75H22M082H,CHNTLI76E08G113Y,CTPCNL92M13M082F
CHNTSC96S09M082V,Tosca,Chiaino,1996-11-09,F,VITERBO,MATERA,MRGVDN75H22M082H,CHNTLI76E08G113Y,VNNDRN92H22F052A
CHNLSU96E21M082J,Luisa,Chiaino,1996-05-21,F,VITERBO,L'AQUILA,MRGVDN75H22M082H,CHNTLI76E08G113Y,ZFFLRZ00D21A345P
CHNFPP97E04H282W,Filippo,Chiaino,1997-05-04,M,RIETI,RIETI,VBIRNT72S20H282P,CHNQRN78B16G113U,
CHNMRG94D23H282U,Ambrogia,Chiaino,1994-04-23,F,RIETI,LUCCA,VBIRNT72S20H282P,CHNQRN78B16G113U,TRQRRG98S09A271M
CHNRGR97A16H282V,Ruggero,Chiaino,1997-01-16,M,RIETI,RIETI,VBIRNT72S20H282P,CHNQRN78B16G113U,TMMBBR90P11A326H
CHNCLL96B24H282I,Catello,Chiaino,1996-02-24,M,RIETI,RIETI,VBIRNT72S20H282P,CHNQRN78B16G113U,CDLPNI01L10C933S
CHNMCL95B26D643C,Marcella,Chiaino,1995-02-26,F,FOGGIA,VICENZA,CTPGTV71C20F052G,CHNNNI76L19G113G,MLLRCR97R10L840P
CHNPRM94S13D643L,Primo,Chiaino,1994-11-13,M,FOGGIA,FOGGIA,CTPGTV71C20F052G,CHNNNI76L19G113G,TMMDNT94M10F704G
FRTGDN94R25B354K,Giordana,Fraternali,1994-10-25,F,CAGLIARI,LECCE,CHNCNZ78D25G113K,FRTTLL71A11A794D,CTPSRI00H07G942C
FRTSNT96D09B354W,Assunta,Fraternali,1996-04-09,F,CAGLIARI,IGLESIAS,CHNCNZ78D25G113K,FRTTLL71A11A794D,CDLLGU99D25I452H
FRTRGR97R13B354D,Ruggero,Fraternali,1997-10-13,M,CAGLIARI,CAGLIARI,CHNCNZ78D25G113K,FRTTLL71A11A794D,
FRTLNE94H02B354S,Elena,Fraternali,1994-06-02,F,CAGLIARI,ROMA,CHNCNZ78D25G113K,FRTTLL71A11A794D,TCEFNN97R06H501E
FRTLSS94B15B354Q,Larissa,Fraternali,1994-02-15,F,CAGLIARI,RIETI,CHNCNZ78D25G113K,FRTTLL71A11A794D,VNNCVN89L03H282C
FRTGRM92L08F052C,Geremia,Fraternali,1992-07-08,M,MATERA,POTENZA,CTPLNE73C02F052E,FRTRSR69D28A794V,TMMMRO98A04F704S
FRTSVN90T09F052B,Silvano,Fraternali,1990-12-09,M,MATERA,MATERA,CTPLNE73C02F052E,FRTRSR69D28A794V,
FRTNNZ92C29F052N,Nunzio,Fraternali,1992-03-29,M,MATERA,MATERA,CTPLNE73C02F052E,FRTRSR69D28A794V,
FRTSRA90S27F052I,Sara,Fraternali,1990-11-27,F,MATERA,RIETI,CTPLNE73C02F052E,FRTRSR69D28A794V,CHNNDR93T22M082K
FRTFNC89S21F052Z,Franca,Fraternali,1989-11-21,F,MATERA,FROSINONE,CTPLNE73C02F052E,FRTRSR69D28A794V,CHNMRA96H29H501J
CTPLNI99R18G942E,Lina,Catapani,1999-10-18,F,POTENZA,ASCOLI PICENO,CDLRLN82P08H703Q,CTPGTN71H19F052D,TMMGLI89E02G479R
CTPSRI00H07G942C,Siro,Catapani,2000-06-07,M,POTENZA,LECCE,CDLRLN82P08H703Q,CTPGTN71H19F052D,FRTGDN94R25B354K
CTPDTL99B24G942C,Domitilla,Catapani,1999-02-24,F,POTENZA,MESSINA,CDLRLN82P08H703Q,CTPGTN71H19F052D,TMMCMN89E22G479I
CTPCSR92E14M082W,Cesare,Catapani,1992-05-14,M,VITERBO,VITERBO,VBICCT70M18H282G,CTPVCN71R23F052N,
CTPSML92M28M082G,Samuele,Catapani,1992-08-28,M,VITERBO,VITERBO,VBICCT70M18H282G,CTPVCN71R23F052N,CRLZTI93A23H163X
CTPVGN92B26M082M,Verginia,Catapani,1992-02-26,F,VITERBO,COMO,VBICCT70M18H282G,CTPVCN71R23F052N,CDLGCM02A03C933B
CTPRND90T19M082U,Rolando,Catapani,1990-12-19,M,VITERBO,VITERBO,VBICCT70M18H282G,CTPVCN71R23F052N,
CTPLFA90E21M082F,Alfio,Catapani,1990-05-21,M,VITERBO,FROSINONE,VBICCT70M18H282G,CTPVCN71R23F052N,NSTVNZ97A26G113W
