school,cf
Università di POTENZA,CRMNRC04A16G942R
Università di POTENZA,CRMLBR05B03G942N
Università di POTENZA,CRMPLL06D06G942F
Università di POTENZA,CRMNSC03L30G942L
Università di POTENZA,CRMDLA05L25G942E
Università di POTENZA,BNTLEO98H25G942C
Università di POTENZA,BNTMNL95S19G942K
Università di POTENZA,BNTPRI95M05G942V
Università di POTENZA,BNTVVN96H04G942E
Università di POTENZA,BNTPRI98S07G942W
Università di POTENZA,MLLLMO96T28G942S
Università di POTENZA,MLLMLT96A19G942Y
Università di POTENZA,MLLSNT97H06G942E
Università di POTENZA,BVNSRI97D02G942V
Università di POTENZA,BVNPNI94A16G942G
Università di TRANI,ZRZLLE88S23L328N
Università di TRANI,ZRZMCL91C22L328I
Università di TRANI,CHRCCT00L25L328B
Università di TRANI,CHRSFN00P11L328E
Università di TRANI,CHRRMR00C13L328V
Università di TRANI,TGLCLL98C29L328H
Università di TRANI,FLLCMN94A23L328F
Università di TRANI,FLLDNI95S23L328P
Università di TRANI,CVRMCL05L06L328W
Università di TRANI,CVRNCL03L19L328C
Università di TRANI,CVRVNN03B26L328S
Università di TRANI,BYULLL00D07L328A
Università di TRANI,ZMPTNI04L04L328M
Università di TRANI,CLNNNZ94B22L328J
Università di TRANI,FRNMRT97T23L328X
Università di TRANI,FRNMRT96A05L328N
Università di TRANI,FRNGDU94D05L328L
Università di OSSOLA,FLNTRS94T12D223V
Università di OSSOLA,FLNBNC94P03D223P
Università di OSSOLA,MTUDRS97A13D223G
Università di OSSOLA,CHRFCN01D01D223R
Università di OSSOLA,CHRGVF01M15D223O
Università di OSSOLA,PGNMMM98T20D223E
Università di OSSOLA,PGNSST02B14D223E
Università di OSSOLA,PGNRBN00B13D223H
Università di OSSOLA,PGNSVT01L03D223C
Università di OSSOLA,PCRDLB99R07D223P
Università di OSSOLA,PCRDVD01D11D223E
Università di OSSOLA,VLZLCA95S30D223P
Università di OSSOLA,CHRGND95D25D223K
Università di OSSOLA,CNTSLN02A05D223X
Università di OSSOLA,CNTTRS02A22D223B
Università di BRINDISI,CLLLRD01R29B180H
Università di BRINDISI,CLLLNR02C26B180Z
Università di BRINDISI,CLLPIO02D01B180K
Università di BRINDISI,CLLLRC00A01B180B
Università di BRINDISI,CLLVSS01C06B180Z
Università di BRINDISI,CLLDTL02A09B180F
Università di BRINDISI,CLLCSS99S23B180J
Università di BRINDISI,CLLRSL99D04B180M
Università di BRINDISI,CLLDNC01H02B180B
Università di BRINDISI,BRBGVF03B16B180Q
Università di BRINDISI,BRBLRN06C27B180M
Università di BRINDISI,BRBSRN06B10B180X
Università di BRINDISI,BRBGVR06M30B180L
Università di BRINDISI,MFFMRN91M12B180V
Università di BRINDISI,ZMPCRN06E02B180O
Università di BRINDISI,ZMPCTN03M14B180F
Università di BRINDISI,GRILLL03D09B180P
Università di BRINDISI,GRILRN06E02B180K
Università di BRINDISI,GRILNU04C04B180B
Università di BRINDISI,GRIDVD04A09B180A
Università di BRINDISI,CNCCLN99A25B180U
Università di BRINDISI,CNCPSQ01R05B180V
Università di MASSA,GNRGCH94E04F023I
Università di MASSA,GNRLCI94P11F023A
Università di MASSA,GNRRFL97M12F023O
Università di MASSA,BRZZNE05D02F023S
Università di MASSA,BRZRSN03L03F023I
Università di MASSA,DLLRST02E24F023E
Università di MASSA,DLLMDA01R20F023R
Università di MASSA,DLLBRN99E15F023I
Università di MASSA,RSSVTR03H08F023P
Università di MASSA,RSSLEA04H18F023L
Università di MASSA,RSSBRM03L29F023B
Università di MASSA,RSSBRN06D24F023W
Università di MASSA,RSSCRN04L02F023M
Università di MASSA,RSSDND06L29F023J
Università di MASSA,LUICST89A27F023J
Università di MASSA,VLLDLZ02R17F023X
Università di MASSA,VLLLND01R15F023U
Università di MASSA,VLLRST02C19F023O
Università di MASSA,MRCDGS98P24F023E
Università di MASSA,TRNVIO96B12F023X
Università di MASSA,TRNLCA97A06F023W
Università di FIRENZE,GNRDLM95B25D612Q
Università di FIRENZE,GNRCRI96M26D612K
Università di FIRENZE,PRMDNL06R03D612O
Università di FIRENZE,PRMLBT04C21D612A
Università di FIRENZE,PRMGST05L21D612H
Università di FIRENZE,BRZMTT00S21D612U
Università di FIRENZE,BRZNLT00H16D612E
Università di FIRENZE,BRZSRG99L28D612V
Università di FIRENZE,PCRLSE99M02D612N
Università di FIRENZE,PCRDLE99C30D612J
Università di FIRENZE,PCRMRT00H27D612J
Università di FIRENZE,GGGBGD01L03D612O
Università di FIRENZE,GGGSDR99A05D612Q
Università di FIRENZE,RTARNL95D18D612X
Università di FIRENZE,RTATLI94T09D612N
Università di FIRENZE,CLOMHL01H02D612L
Università di FIRENZE,CLORLF99R18D612F
Università di FIRENZE,CLOLLL98S23D612X
Università di FIRENZE,CLOLLD99S21D612J
Università di FIRENZE,CLOLDN99L21D612O
Università di FIRENZE,SRNFPP93B03D612X
Università di SAVONA,CVGLFA03S15I480R
Università di SAVONA,CVGMNL03S10I480Y
Università di SAVONA,RCCPRM00H17I480I
Università di SAVONA,VLCGTN96E21I480T
Università di SAVONA,LUIDLF96D10I480N
Università di SAVONA,LNZNZE06D28I480L
Università di SAVONA,LNZRGR05S27I480W
Università di SAVONA,LNZSFN04B16I480B
Università di SAVONA,LNZBRN04B17I480H
Università di SAVONA,RNISST03S28I480W
Università di SAVONA,RNIMRA03B01I480M
Università di AVELLINO,ZLLNRC95M27A509C
Università di AVELLINO,ZLLLCU95T20A509V
Università di AVELLINO,ZLLRND98M08A509W
Università di AVELLINO,ZLLNRN96M31A509Y
Università di AVELLINO,ZLLSFN98A21A509S
Università di AVELLINO,CRDRLA90L31A509I
Università di AVELLINO,MGARND98S16A509A
Università di AVELLINO,MGAMDE01T01A509U
Università di AVELLINO,CRMTTR01P19A509V
Università di AVELLINO,CRMBNL02P07A509Z
Università di AVELLINO,CRMCPI01T27A509S
Università di AVELLINO,CRMMRA02B19A509P
Università di AVELLINO,RCCGDU01D11A509O
Università di AVELLINO,RCCRNN00D05A509Q
Università di AVELLINO,SGHDLF05P13A509U
Università di AVELLINO,SGHSLN04T17A509L
Università di AVELLINO,SGHRST06A02A509A
Università di AVELLINO,SGHNZE99C01A509O
Università di AVELLINO,SGHDLF01P05A509V
Università di AVELLINO,SGHCPI01R28A509J
Università di AVELLINO,MPRFDL01T21A509M
Università di AVELLINO,MPRRSL00R28A509P
Università di AVELLINO,DDECRL02P19A509Y
Università di AVELLINO,DDEVND00B22A509B
Università di AVELLINO,DDEDRN01R08A509C
Università di AVELLINO,DDENLM00A25A509V
Università di AVELLINO,FLLLRZ05D17A509H
Università di AVELLINO,FLLLSN03L29A509Z
Università di AVELLINO,LVNNNA02S01A509X
Università di AVELLINO,LVNLSN01A27A509H
Università di AVELLINO,LVNFRC03S21A509I
Università di AVELLINO,LVNPLP03T28A509W
Università di AVELLINO,LVNLCA06A21A509B
Università di AVELLINO,LVNTST05M30A509B
Università di AVELLINO,LVNGLN06D17A509E
Università di AVELLINO,LVNMRZ03L24A509N
Università di AVELLINO,BRNVLR03C20A509V
Università di AVELLINO,BRNRRT06M14A509U
Università di AVELLINO,BRNNCN04B06A509S
Università di AVELLINO,BRNMRL05H08A509O
Università di AVELLINO,BRNNTN04T14A509K
Università di AVELLINO,CRMYNN06P07A509C
Università di AVELLINO,CRMMMI04M30A509J
Università di AVELLINO,CRMLRC06R25A509V
Università di AVELLINO,CRMPSC06C20A509O
Università di AVELLINO,BLDCPI99R19A509V
Università di CREMONA,BRGSML02B18D150H
Università di CREMONA,BRGSDI00S25D150Y
Università di CREMONA,BRGVGN01A21D150R
Università di CREMONA,BRGSBN01A08D150Q
Università di CREMONA,GBBMRA89L15D150N
Università di CREMONA,GBBCLS93P27D150R
Università di CREMONA,LNRPML02M12D150B
Università di CREMONA,LNRMTN99M17D150J
Università di CREMONA,GRNSLV05D25D150C
Università di CREMONA,SNIMRZ90H05D150T
Università di CREMONA,RCCLRD98T07D150C
Università di CREMONA,RCCZNE02P30D150F
Università di CREMONA,PDNMLN04L02D150A
Università di CREMONA,BNLLCN00D21D150N
Università di CREMONA,BNLPRD99E11D150O
Università di CREMONA,BNLLBR99P21D150L
Università di CREMONA,PRTDMN02L14D150Q
Università di CREMONA,BRBDRD03R15D150O
Università di CREMONA,BRBFLV03T06D150L
Università di CREMONA,PDSLRC01C03D150K
Università di CREMONA,PDSLDI00E20D150O
Università di CREMONA,PDSBNL01C24D150Z
Università di CREMONA,MRNCDD00R02D150M
Università di CREMONA,MRNSLV99A14D150S
Università di CREMONA,MRNFNN00C12D150K
Università di CREMONA,FRFMRT97P05D150F
Università di PESARO,GNRFNZ98A17G479V
Università di PESARO,PJUCML94P07G479R
Università di PESARO,MGNMMM96L21G479G
Università di PESARO,GRBLRI98P24G479P
Università di PESARO,GRBGLL94M04G479S
Scuola Elementare di CASERTA,DMCPTR17L18B963G
Scuola Elementare di CASERTA,DMCMDL18D19B963W
Scuola Elementare di CASERTA,DMCZRA14H19B963F
Scuola Elementare di CASERTA,DMCMRA17L03B963T
Scuola Elementare di CASERTA,ZLLYND18R27B963Z
Scuola Elementare di CASERTA,ZLLMTT17M01B963N
Scuola Elementare di CASERTA,PRSFLC15H24B963H
Scuola Elementare di CASERTA,PRSLND15B17B963U
Scuola Elementare di CASERTA,PRSMRC14T18B963X
Scuola Elementare di CASERTA,PRSGDI16T13B963M
Scuola Elementare di CASERTA,RTALBN18L07B963M
Scuola Elementare di CASERTA,RTARLA15C18B963K
Scuola Elementare di FIRENZE,GNRDNL15M19D612J
Scuola Elementare di FIRENZE,GNRRNL18L14D612A
Scuola Elementare di FIRENZE,GNRDLM14P25D612X
Scuola Elementare di FIRENZE,GNRLNI14A16D612Q
Scuola Elementare di FIRENZE,GNRCNL14S26D612W
Scuola Elementare di FIRENZE,GNRGDN18D30D612B
Scuola Elementare di FIRENZE,CRTNNE17H22D612Y
Scuola Elementare di FIRENZE,CRTCRI17P10D612M
Scuola Elementare di FIRENZE,RGRSFN16A05D612G
Scuola Elementare di FIRENZE,RGRNFR17L02D612B
Scuola Elementare di FIRENZE,SRNSRI17A30D612P
Scuola Elementare di FIRENZE,SRNLNI16T14D612M
Scuola Elementare di UDINE,BSCMSM16S19L483E
Scuola Elementare di UDINE,BSCFDN16H11L483D
Scuola Elementare di UDINE,BSCVGN14E03L483X
Scuola Elementare di UDINE,BSCMRA15E14L483Y
Scuola Elementare di UDINE,BSCRSL14A31L483C
Scuola Elementare di UDINE,TRBLTZ16D16L483P
Scuola Elementare di BRINDISI,TLORZO16S26B180F
Scuola Elementare di BRINDISI,TLOSDR16M24B180T
Scuola Elementare di BRINDISI,TLORZR18E20B180T
Scuola Elementare di BRINDISI,TLOGST14D04B180Z
Scuola Elementare di BRINDISI,MFFGNZ18E04B180T
Scuola Elementare di BRINDISI,MFFCLD14E22B180X
Scuola Elementare di BRINDISI,MFFLNE15D18B180J
Scuola Elementare di BRINDISI,MFFLFA17R24B180S
Scuola Elementare di BRINDISI,MFFTMR15B07B180S
Scuola Elementare di BRINDISI,FRNLDN14M11B180K
Scuola Elementare di BRINDISI,FRNDMN17B06B180M
Scuola Elementare di NAPOLI,DMCMRN15L17F839C
Scuola Elementare di NAPOLI,DMCMRA16D17F839T
Scuola Elementare di NAPOLI,GRNGZN17S16F839V
Scuola Elementare di NAPOLI,GRNGNI17L14F839Z
Scuola Elementare di NAPOLI,MLLLRT16T31F839M
Scuola Elementare di NAPOLI,VRRMLE17S01F839S
Scuola Elementare di NAPOLI,VRRYNN17A23F839B
Scuola Elementare di NAPOLI,VRRDNL16R23F839K
Scuola Elementare di NAPOLI,MZZYLN17A28F839C
Scuola Elementare di NAPOLI,MZZGNS16M17F839S
Scuola Elementare di RAGUSA,ZNCDLE16T01H163O
Scuola Elementare di RAGUSA,MNTFTM14C18H163V
Scuola Elementare di RAGUSA,MNTMLE17T31H163F
Scuola Elementare di RAGUSA,MNTMLL16R25H163R
Scuola Elementare di RAGUSA,MNTNVE18R09H163Z
Scuola Elementare di RAGUSA,MNTRZR16P03H163I
Scuola Elementare di RAGUSA,MNTMSS16P30H163Q
Scuola Elementare di RAGUSA,MNTDLE15A25H163T
Scuola Elementare di RAGUSA,MNTBND17B24H163D
Scuola Elementare di RAGUSA,MNTLRG14B05H163D
Scuola Elementare di RAGUSA,MPCLCA17A10H163G
Scuola Elementare di RAGUSA,MPCLRZ18B13H163O
Scuola Elementare di RAGUSA,MPCCLD14P06H163L
Scuola Elementare di RAGUSA,MPCVLR14A03H163I
Scuola Elementare di RAGUSA,MPCMRM17B11H163U
Scuola Elementare di TRANI,TLORNO18L01L328I
Scuola Elementare di TRANI,FLLLLN16D25L328T
Scuola Elementare di TRANI,FLLCML17C28L328B
Scuola Elementare di TRANI,FLLBNC17A20L328X
Scuola Elementare di TRANI,VLZYNN14D24L328G
Scuola Elementare di TRANI,CTNVCN18D27L328A
Scuola Elementare di TRANI,RCIRCC17S26L328Y
Scuola Elementare di TRANI,RCIVND15C29L328P
Scuola Elementare di TRANI,GLLSDR15E27L328O
Scuola Elementare di TRANI,GLLGTN16R10L328O
Scuola Elementare di TRANI,FRNNZE15A23L328O
Scuola Elementare di TRANI,FRNCMN18P17L328V
Scuola Elementare di TRANI,BLDGCM17C21L328Q
Scuola Elementare di VIBO VALENTIA,CLAVVN16P14F537O
Scuola Elementare di VIBO VALENTIA,CLALVC18P04F537U
Scuola Elementare di VIBO VALENTIA,CLACST14D22F537C
Scuola Elementare di VIBO VALENTIA,CLASDR17E14F537T
Scuola Elementare di VIBO VALENTIA,CLAFLV15D13F537B
Scuola Elementare di VIBO VALENTIA,CLARMN17P03F537Q
Scuola Elementare di VIBO VALENTIA,CLAVTR17R20F537V
Scuola Elementare di VIBO VALENTIA,CLASMN16L19F537G
Scuola Elementare di VIBO VALENTIA,CLAWNN18H24F537Q
Scuola Elementare di VIBO VALENTIA,CLASND15P21F537C
Scuola Elementare di VIBO VALENTIA,CRNLTR14L11F537B
Scuola Elementare di VIBO VALENTIA,CRNBGI14P24F537S
Scuola Elementare di VIBO VALENTIA,GTTMCR17B17F537P
Scuola Elementare di VIBO VALENTIA,GTTSLL17C17F537T
Scuola Elementare di VIBO VALENTIA,MGNMRM15P21F537U
Scuola Elementare di VIBO VALENTIA,MGNPRD14E01F537R
Scuola Elementare di VIBO VALENTIA,MGNDNC16L01F537N
